年月日,平均気温(℃)
2019/1/1,4.2
2019/1/2,4.3
2019/1/3,3.7
2019/1/4,4
2019/1/5,6
2019/1/6,4.1
2019/1/7,3.9
2019/1/8,3.4
2019/1/9,4
2019/1/10,0.3
2019/1/11,5.8
2019/1/12,3.9
2019/1/13,5.5
2019/1/14,4
2019/1/15,3
2019/1/16,5.3
2019/1/17,5.4
2019/1/18,4.9
2019/1/19,5
2019/1/20,5.8
2019/1/21,4.9
2019/1/22,3.7
2019/1/23,4.9
2019/1/24,5.7
2019/1/25,4.5
2019/1/26,4
2019/1/27,4.3
2019/1/28,4.5
2019/1/29,5.4
2019/1/30,3.9
2019/1/31,4
2019/2/1,3.6
2019/2/2,4.8
2019/2/3,6.7
2019/2/4,10.2
2019/2/5,6
2019/2/6,5.3
2019/2/7,8.5
2019/2/8,4.6
2019/2/9,0.3
2019/2/10,3
2019/2/11,2.4
2019/2/12,5.2
2019/2/13,4.9
2019/2/14,3.7
2019/2/15,2.2
2019/2/16,6.1
2019/2/17,6.1
2019/2/18,6.7
2019/2/19,8
2019/2/20,11.5
2019/2/21,9.7
2019/2/22,8.3
2019/2/23,8.4
2019/2/24,7.7
2019/2/25,10.8
2019/2/26,9.8
2019/2/27,7.4
2019/2/28,6.7
2019/3/1,8.9
2019/3/2,10
2019/3/3,6.3
2019/3/4,7.6
2019/3/5,9.5
2019/3/6,10
2019/3/7,7.9
2019/3/8,6.8
2019/3/9,9
2019/3/10,11.5
2019/3/11,11.8
2019/3/12,11
2019/3/13,10.8
2019/3/14,7.6
2019/3/15,8.3
2019/3/16,8.2
2019/3/17,8.2
2019/3/18,8.9
2019/3/19,11.6
2019/3/20,14.1
2019/3/21,17
2019/3/22,14.7
2019/3/23,6.2
2019/3/24,7
2019/3/25,9.4
2019/3/26,11.5
2019/3/27,13.3
2019/3/28,12.8
2019/3/29,7.6
2019/3/30,8.2
2019/3/31,9.9
2019/4/1,7.8
2019/4/2,6.5
2019/4/3,7.4
2019/4/4,9.8
2019/4/5,13.9
2019/4/6,15.1
2019/4/7,15.1
2019/4/8,9.1
2019/4/9,10.2
2019/4/10,4.5
2019/4/11,10.1
2019/4/12,9.1
2019/4/13,11.1
2019/4/14,13.8
2019/4/15,15.7
2019/4/16,14.4
2019/4/17,14.3
2019/4/18,16.7
2019/4/19,18
2019/4/20,14.2
2019/4/21,17.2
2019/4/22,19.3
2019/4/23,18.6
2019/4/24,18.2
2019/4/25,20.5
2019/4/26,12.1
2019/4/27,10.3
2019/4/28,12.1
2019/4/29,14.3
2019/4/30,14.2
2019/5/1,17.6
2019/5/2,18
2019/5/3,17.8
2019/5/4,16.7
2019/5/5,17.5
2019/5/6,17.9
2019/5/7,14.3
2019/5/8,15.5
2019/5/9,17.2
2019/5/10,19.6
2019/5/11,20.5
2019/5/12,17.7
2019/5/13,17.7
2019/5/14,17.1
2019/5/15,18.5
2019/5/16,19
2019/5/17,19.9
2019/5/18,19.4
2019/5/19,19.9
2019/5/20,19.3
2019/5/21,19.2
2019/5/22,19
2019/5/23,20.6
2019/5/24,22.6
2019/5/25,23.3
2019/5/26,24.5
2019/5/27,25.6
2019/5/28,23.3
2019/5/29,20.5
2019/5/30,20.9
2019/5/31,20.9
2019/6/1,21.1
2019/6/2,21.4
2019/6/3,22
2019/6/4,22
2019/6/5,21.8
2019/6/6,25.2
2019/6/7,20.8
2019/6/8,21.1
2019/6/9,17
2019/6/10,15.8
2019/6/11,18.4
2019/6/12,17.9
2019/6/13,20.3
2019/6/14,21.6
2019/6/15,16.6
2019/6/16,23.6
2019/6/17,22.9
2019/6/18,22.9
2019/6/19,23.3
2019/6/20,23.3
2019/6/21,23.9
2019/6/22,21.5
2019/6/23,20.7
2019/6/24,19.1
2019/6/25,22
2019/6/26,24.2
2019/6/27,25
2019/6/28,25.8
2019/6/29,20.2
2019/6/30,21.7
2019/7/1,22.9
2019/7/2,24
2019/7/3,24.7
2019/7/4,22.2
2019/7/5,21.7
2019/7/6,20.9
2019/7/7,19.1
2019/7/8,20.4
2019/7/9,19.4
2019/7/10,20.7
2019/7/11,20
2019/7/12,19.8
2019/7/13,23
2019/7/14,21.3
2019/7/15,21.1
2019/7/16,20.4
2019/7/17,23.8
2019/7/18,25.4
2019/7/19,26.4
2019/7/20,26.6
2019/7/21,25.3
2019/7/22,22.2
2019/7/23,25
2019/7/24,26.8
2019/7/25,27.9
2019/7/26,28
2019/7/27,28
2019/7/28,28.2
2019/7/29,29.3
2019/7/30,29.6
2019/7/31,30.1
2019/8/1,30.5
2019/8/2,30.1
2019/8/3,29.6
2019/8/4,29.2
2019/8/5,29.6
2019/8/6,29.7
2019/8/7,29.7
2019/8/8,29.7
2019/8/9,29.7
2019/8/10,29.1
2019/8/11,29.4
2019/8/12,29.2
2019/8/13,28.4
2019/8/14,28.2
2019/8/15,28
2019/8/16,28.7
2019/8/17,30.4
2019/8/18,30
2019/8/19,28.2
2019/8/20,26.1
2019/8/21,27
2019/8/22,25.6
2019/8/23,25.6
2019/8/24,27.1
2019/8/25,25.9
2019/8/26,24.9
2019/8/27,25
2019/8/28,24.3
2019/8/29,27.8
2019/8/30,25
2019/8/31,27.2
2019/9/1,27.4
2019/9/2,27.6
2019/9/3,25
2019/9/4,23.1
2019/9/5,24.6
2019/9/6,27.1
2019/9/7,27.7
2019/9/8,28
2019/9/9,29.5
2019/9/10,29.2
2019/9/11,26.7
2019/9/12,24.8
2019/9/13,22
2019/9/14,21.4
2019/9/15,25.1
2019/9/16,23.6
2019/9/17,26.1
2019/9/18,21.2
2019/9/19,21.8
2019/9/20,22.6
2019/9/21,21.2
2019/9/22,22.1
2019/9/23,25.9
2019/9/24,25.4
2019/9/25,24.4
2019/9/26,22.3
2019/9/27,22.9
2019/9/28,23.6
2019/9/29,24.3
2019/9/30,24.9
2019/10/1,24.4
2019/10/2,23.6
2019/10/3,23.6
2019/10/4,24.2
2019/10/5,25.5
2019/10/6,20.6
2019/10/7,19.8
2019/10/8,20.2
2019/10/9,20.1
2019/10/10,19.2
2019/10/11,19.4
2019/10/12,22.9
2019/10/13,24
2019/10/14,16.4
2019/10/15,17.7
2019/10/16,15.3
2019/10/17,15.4
2019/10/18,15.5
2019/10/19,17.5
2019/10/20,20
2019/10/21,17.9
2019/10/22,14.9
2019/10/23,18.3
2019/10/24,17.6
2019/10/25,14.4
2019/10/26,17.9
2019/10/27,17.7
2019/10/28,16.6
2019/10/29,13.8
2019/10/30,15.9
2019/10/31,16.3
2019/11/1,16.7
2019/11/2,14.9
2019/11/3,14.9
2019/11/4,14.5
2019/11/5,13
2019/11/6,13.3
2019/11/7,14.8
2019/11/8,14.7
2019/11/9,12.7
2019/11/10,12.7
2019/11/11,12
2019/11/12,14.4
2019/11/13,11.7
2019/11/14,13.6
2019/11/15,11.7
2019/11/16,11.8
2019/11/17,11.9
2019/11/18,15.7
2019/11/19,15.3
2019/11/20,10.6
2019/11/21,9.7
2019/11/22,7.7
2019/11/23,11.6
2019/11/24,16.5
2019/11/25,16.5
2019/11/26,8.4
2019/11/27,9
2019/11/28,8.5
2019/11/29,5.1
2019/11/30,5.9
2019/12/1,6.3
2019/12/2,8.3
2019/12/3,11.5
2019/12/4,8.4
2019/12/5,8.1
2019/12/6,7.4
2019/12/7,5.1
2019/12/8,6.3
2019/12/9,5.6
2019/12/10,9.8
2019/12/11,10.9
2019/12/12,10.4
2019/12/13,6.3
2019/12/14,7.9
2019/12/15,7.8
2019/12/16,6.8
2019/12/17,7.3
2019/12/18,10.5
2019/12/19,8.3
2019/12/20,10.2
2019/12/21,7.3
2019/12/22,5.9
2019/12/23,6.1
2019/12/24,7.2
2019/12/25,4.3
2019/12/26,6.7
2019/12/27,8.1
2019/12/28,5.9
2019/12/29,5.4
2019/12/30,6.2
2019/12/31,7.2
2020/1/1,4.8